station_id,station_name,free_bikes,empty_slots,latitude,longitude
7fde42277f0af769fa2844ac44fb18bb,Cathcart Railway Station,11,0.0,55.817338,-4.262688
1d0ef65099a882d9ca47c5e290a642a9,Corkerhill Railway Station,5,5.0,55.836355,-4.335149
b205037f7c8a72a7acf2af890570bb16,Riddrie South,3,4.0,55.867405,-4.192788
573cb802d312c0c7388eeb86b7df2b16,Maryhill Library,8,0.0,55.891127,-4.290879
a8db8c24388d5d0ce7143678dfa0e676,Gorbals Library,9,0.0,55.848564,-4.250996
dd9ad2381ac6eb2e2826d3d8104297ec,Queen Street Railway ,1,8.0,55.862102,-4.252307
2a86fb913aad33c3e3deee02dd93f76d,Buchanan Street Bus Station - ELECTRIC,1,6.0,55.864993,-4.252567
0e94d2ad012bff0cf23497963ff5fd77,Shields Road,2,5.0,55.845807,-4.275232
bbf0e6792d57d47cb2e66509a3712d22,Govan Cross,5,0.0,55.863,-4.311378
65a1fded1cfdaf39b8c7ea2cc561144b,Bellahouston Park,8,0.0,55.849072,-4.314376
57d53cfefc9f5e8871e9758b1f6128f8,Clifton St / Kelvingrove Park East,13,0.0,55.86698,-4.278874
7ad6b0b3be3cb3d85e687bdf53358611,The Round Toll,1,7.0,55.87422,-4.26136
1179f511143ae9898181016b37d85b5a,Whiteinch Library,10,0.0,55.874555,-4.333357
066c99293af108ece27d9b0436c30cc4,Riverside Museum,8,0.0,55.865683,-4.305367
0cc8c09950e1435ee7782478ed292fef,Tollcross International Swimming Centre,14,0.0,55.84425,-4.176167
654cfe414a7d682dfffd1259586b364f,Scottish Event Campus (formerly S.E.C.C),5,2.0,55.859081,-4.287211
47a68fd067ea7f71ee08c1fbdd7c9c9b,Glasgow Science Centre,3,5.0,55.8585,-4.292972
faf9e8803c8d80741d74f98cb9ba8337,Cambridge Street - ELECTRIC,1,8.0,55.865063,-4.260291
abb4b8f19b7371a31a1773ddf19dac8c,Springfield Rd,0,6.0,55.848885,-4.20064
bc208a63ac25b883b9eb6e28bfff2f28,Shakespeare Street (Maryhill) - ELECTRIC,2,3.0,55.886934,-4.285022
80c191c76711807560f1dee0ec98b9c4,Langside Hall - ELECTRIC,1,6.0,55.831951,-4.277989
5a611496ed54f7f74525c262367db06f,Yorkhill Street South,11,0.0,55.864135,-4.292988
6c5f3eaafa4323831910bb404125cef9,Glasgow Central West,7,4.0,55.858587,-4.259847
abb478d282fc4352a662a4fb1308a544,Woodside (North) - ELECTRIC,4,4.0,55.875061,-4.270678
85c3b5be1873561dc445f46324d143b7,St Enoch Square - ELECTRIC,6,2.0,55.856859,-4.255593
5d5e2ae1a3a0fe0075c7a9d3432e736b,Cessnock Subway Station - ELECTRIC,6,3.0,55.85196,-4.294538
5a527c8ff4d91a318d173dbdbce298c0,Eglinton Toll - ELECTRIC,1,5.0,55.843308,-4.26217
c04c3fc64f0ba6c420bd3184f474bfc9,University of Glasgow (West),2,8.0,55.872774,-4.292135
10998482c3187c80b1fc322bee154cb6,Alexandra Parade (West) - ELECTRIC,2,6.0,55.864472,-4.223208
d204cd406e1b7af53252157f13d4df60,Burrell Collection,7,0.0,55.829914,-4.306877
aa439d2a415edfcb198febf8bf3cd7a7,St Andrews Drive - Dalziel Drive,9,0.0,55.840988,-4.289947
af89fc71d4e9b25fd63a7ae8861f4c03,Hampden Park and Ride,11,0.0,55.827974,-4.247278
